Usia Responden,Semester Responden,Jumlah Hubungan Responden,Durasi Rata-rata Hubungan Responden,Jumlah Kencan Responden,Tingkat Kepuasan Responden dalam Hubungan,Tingkat Kekuatan Cinta Responden dalam Hubungan,Tingkat Keterbukaan Komunikasi Responden dalam Hubungan,Respon Teman & Keluarga terhadap Hubungan Responden,Pengaruh Media Sosial terhadap Hubungan Responden,Frekuensi Konflik dalam Hubungan Responden,Penyelesaian Responden & Pasangan terhadap Konflik,Pengaruh Hubungan terhadap Performa Akademik Responden,Perubahan IPK yang Dialami Responden,Pendapat Responden terhadap Hubungan Terakhir,Media atau Bagaimana Responden Bertemu dengan Pasangan,Jenis Kelamin,Fakultas Responden,Status Responden Saat Ini,Status Responden Sebelumnya
20,4.0,3.0,12.0,16.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,1,1,5,0.0,1,1,1,1
20,4.0,2.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,0,0,4,1.0,1,1,1,1
19,4.0,2.0,48.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,0,0,3,2.0,1,1,1,1
19,4.0,3.0,30.0,4.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,1,-1,5,2.0,1,1,1,1
19,4.0,1.0,8.0,6.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1,-1,2,3.0,0,1,1,1
19,2.0,2.0,5.0,20.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,1,1,5,0.0,0,1,1,1
21,6.0,6.0,12.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,0,0,3,7.0,0,1,1,1
22,6.0,10.0,3.0,8.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,0,0,1,1.0,0,1,1,1
19,4.0,1.0,12.0,1.0,3.0,5.0,5.0,4.0,3.0,1.0,4.0,1,1,5,0.0,1,1,1,1
18,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,-1,1,0.0,0,3,1,1
20,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1,-1,3,1.0,0,3,0,1
19,2.0,2.0,24.0,12.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,1,1,5,0.0,0,3,1,1
18,2.0,1.0,12.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,0,0,5,3.0,0,4,1,1
